,Country/Region,date_first_case,date_first_death,days_c1_to_d1,date,cases,deaths
48,Diamond Princess,2020-02-07,2020-02-20,13.0,2021-07-07,712,13
49,Djibouti,2020-03-18,2020-04-10,23.0,2021-07-07,11609,155
50,Dominican Republic,2020-03-01,2020-03-17,16.0,2021-07-07,330941,3870
51,Ecuador,2020-03-01,2020-03-14,13.0,2021-07-07,465029,21728
52,Egypt,2020-02-14,2020-03-08,23.0,2021-07-07,282582,16332
53,El Salvador,2020-03-19,2020-03-31,12.0,2021-07-07,80235,2420
54,Equatorial Guinea,2020-03-15,2020-04-22,38.0,2021-07-07,8775,122
55,Eritrea,2020-03-21,2020-12-22,276.0,2021-07-07,6224,27
56,Estonia,2020-02-27,2020-03-25,27.0,2021-07-07,131299,1270
57,Eswatini,2020-03-14,2020-04-16,33.0,2021-07-07,19522,684
58,Ethiopia,2020-03-13,2020-04-05,23.0,2021-07-07,276683,4338
59,Fiji,2020-03-19,2020-07-31,134.0,2021-07-07,7940,42
60,Finland,2020-01-29,2020-03-21,52.0,2021-07-07,97049,976
